,title,studio,year,domestic_gross,foreign_gross,total_gross
366,War Horse,BV,2011,79900000,97700000,177600000
367,The Descendants,FoxS,2011,82600000,94700000,177300000
368,Cowboys & Aliens,Uni.,2011,100200000,74600000,174800000
369,In Time,Fox,2011,37500000,136400000,173900000
370,Zookeeper,Sony,2011,80400000,89500000,169900000
371,The Muppets,BV,2011,88600000,76600000,165200000
372,Limitless,Rela.,2011,79200000,82600000,161800000
373,Johnny English Reborn,Uni.,2011,8300000,151800000,160100000
374,Final Destination 5,WB (NL),2011,42600000,115300000,157900000
375,Tower Heist,Uni.,2011,78000000,74900000,152900000
376,Midnight in Paris,SPC,2011,56800000,94300000,151100000
377,Happy Feet Two,WB,2011,64000000,86400000,150400000
378,I Am Number Four,BV,2011,55100000,94800000,149900000
379,Jack and Jill,Sony,2011,74200000,75500000,149700000
380,Friends with Benefits,SGem,2011,55800000,93700000,149500000
381,No Strings Attached,Par.,2011,70700000,78600000,149300000
382,Arthur Christmas,Sony,2011,46500000,101000000,147500000
383,Source Code,Sum.,2011,54700000,92600000,147300000
384,"Crazy, Stupid, Love.",WB,2011,84400000,58500000,142900000
385,New Year's Eve,WB (NL),2011,54500000,87500000,142000000
386,Contagion,WB,2011,75700000,59800000,135500000
387,The Artist,Wein.,2011,44700000,88800000,133500000
388,The Three Musketeers (2011),Sum.,2011,20400000,111900000,132300000
389,Unknown,WB,2011,63700000,67099999,130799999
390,The Adjustment Bureau,Uni.,2011,62500000,65400000,127900000
391,We Bought a Zoo,Fox,2011,75600000,44500000,120100000
392,Water for Elephants,Fox,2011,58700000,58400000,117100000
393,The Iron Lady,Wein.,2011,30000000,84900000,114900000
394,Moneyball,Sony,2011,75600000,34600000,110200000
395,Sanctum,Uni.,2011,23200000,85400000,108600000
396,Justin Bieber: Never Say Never,Par.,2011,73000000,26000000,99000000
397,Paul,Uni.,2011,37400000,60600000,98000000
398,Scream 4,W/Dim.,2011,38200000,59000000,97200000
399,Insidious,FD,2011,54000000,43000000,97000000
400,The Rite,WB (NL),2011,33000000,63000000,96000000
401,Dolphin Tale,WB,2011,72300000,23100000,95400000
402,Season of the Witch,Rela.,2011,24800000,66800000,91600000
403,Sucker Punch,WB,2011,36400000,53400000,89800000
404,Red Riding Hood,WB,2011,37700000,51500000,89200000
405,Spy Kids: All the Time in the World,W/Dim.,2011,38500000,47000000,85500000
406,J. Edgar,WB,2011,37300000,47600000,84900000
407,Hall Pass,WB (NL),2011,45100000,38100000,83200000
408,"Big Mommas: Like Father, Like Son",Fox,2011,37900000,44800000,82700000
409,Abduction,LGF,2011,28100000,54000000,82100000
410,"Tinker, Tailor, Soldier, Spy",Focus,2011,24100000,56500000,80600000
411,Priest,SGem,2011,29100000,49200000,78300000
412,Drive (2011),FD,2011,35100000,41100000,76200000
413,The Mechanic,CBS,2011,29100000,47000000,76100000
414,The Ides of March,Sony,2011,41000000,35000000,76000000
415,The Change-Up,Uni.,2011,37100000,38400000,75500000
416,The Lincoln Lawyer,LGF,2011,58000000,17000000,75000000
417,Diary of a Wimpy Kid: Rodrick Rules,Fox,2011,52700000,19700000,72400000
418,Larry Crowne,Uni.,2011,35600000,36400000,72000000
419,The Dilemma,Uni.,2011,48500000,21200000,69700000
420,The Darkest Hour,Sum.,2011,21400000,43200000,64600000
421,Hanna,Focus,2011,40300000,23500000,63800000
422,Footloose (2011),Par.,2011,51800000,11700000,63500000
423,Elite Squad: The Enemy Within,Vari.,2011,100000,62900000,63000000
424,Colombiana,TriS,2011,36700000,24300000,61000000
425,Something Borrowed,WB,2011,39000000,21100000,60100000
426,One Day,Focus,2011,13800000,45500000,59300000
427,Beginning of the Great Revival,CL,2011,151000,58200000,58351000
428,Killer Elite,ORF,2011,25100000,31300000,56400000
429,Extremely Loud & Incredibly Close,WB,2011,31800000,23400000,55200000
430,The Tree of Life,FoxS,2011,13300000,41000000,54300000
431,Tyler Perry's Madea's Big Happy Family,LGF,2011,53300000,816000,54116000
432,Detective Dee and the Mystery of the Phantom Flame,IM,2011,460000,51300000,51760000
433,Winnie the Pooh,BV,2011,26700000,23200000,49900000
434,Conan the Barbarian (2011),LGF,2011,21300000,27500000,48800000
435,Soul Surfer,TriS,2011,43900000,3200000,47100000
436,War of the Arrows,CJ,2011,251000,45800000,46051000
437,Arthur (2011),WB,2011,33000000,12700000,45700000
438,The Debt,Focus,2011,31200000,14500000,45700000
439,Beastly,CBS,2011,27900000,15300000,43200000
440,Of Gods and Men,SPC,2011,4000000,38200000,42200000
441,Born to Be Wild (IMAX),WB,2011,25900000,15600000,41500000
442,Evangelion 2.0: You Can (Not) Advance,Elev.,2011,134000,41000000,41134000
443,Fright Night (2011),BV,2011,18300000,22700000,41000000
444,30 Minutes or Less,Sony,2011,37100000,3500000,40600000
445,The Roommate,SGem,2011,37300000,3200000,40500000
446,Shark Night 3D,Rela.,2011,18900000,21300000,40200000
447,Monte Carlo,Fox,2011,23200000,16500000,39700000
448,50/50,Sum.,2011,35000000,4200000,39200000
449,Mars Needs Moms,BV,2011,21400000,17600000,39000000
450,Dream House,Uni.,2011,21300000,17200000,38500000
451,Jumping the Broom,TriS,2011,37300000,415000,37715000
452,Don't Be Afraid of the Dark,FD,2011,24000000,12900000,36900000
453,RA One,Eros,2011,2500000,33400000,35900000
454,A Very Harold & Kumar 3D Christmas,WB,2011,35100000,326000,35426000
455,My Week with Marilyn,Wein.,2011,14600000,20500000,35100000
456,The Sitter,Fox,2011,30400000,4500000,34900000
457,Jane Eyre,Focus,2011,11200000,23500000,34700000
458,Courageous,TriS,2011,34500000,0,34500000
459,Shaolin,Vari.,2011,66100,33600000,33666100
460,African Cats,BV,2011,15400000,15400000,30800000
461,The Skin I Live In,SPC,2011,3200000,27700000,30900000
462,I Don't Know How She Does It,Wein.,2011,9700000,20900000,30600000
463,What's Your Number?,Fox,2011,14000000,16399999,30399999
464,Drive Angry,Sum.,2011,10700000,18200000,28900000
465,Carnage (2011),SPC,2011,2500000,25100000,27600000
466,A Dangerous Method,SPC,2011,5700000,21800000,27500000
467,The Thing (2011),Uni.,2011,16900000,10500000,27400000
468,The Eagle,Focus,2011,19500000,7600000,27100000
469,Legend of the Fist: The Return of Chen Zhen,Vari.,2011,50400,26500000,26550400
470,Apollo 18,W/Dim.,2011,17700000,7900000,25600000
471,Biutiful,RAtt.,2011,5100000,20000000,25100000
472,Your Highness,Uni.,2011,21600000,3300000,24900000
473,Our Idiot Brother,Wein.,2011,24800000,0,24800000
474,The Rum Diary,FD,2011,13100000,10800000,23900000
475,The Women on the 6th Floor,Strand,2011,720000,22500000,23220000
